box_points,name,percentage_probability
,,
[1589 1071 2140 1448],person,90.11172056
,,
[ 577  413  977 1025],person,83.08165073
,,
[1501  570 1984 1208],person,78.45618725
,,
[ 268  672  875 1402],person,91.65474176
,,
box_points,name,percentage_probability
,,
[ 575  409  976 1018],person,80.27897477
,,
[1504  564 1984 1179],person,78.32000256
,,
[ 268  675  861 1393],person,93.27415228
,,
[1597 1019 2127 1401],person,91.22369289
,,
box_points,name,percentage_probability
,,
[1581 1070 2142 1450],person,89.77479935
,,
[ 573  416  978 1011],person,81.50753975
,,
[1503  564 1986 1170],person,75.69024563
,,
[ 269  671  881 1403],person,94.75284815
,,
box_points,name,percentage_probability
,,
[ 572  415  973 1053],person,84.18644667
,,
[ 432  516  919 1267],person,85.03389359
,,
[1503  564 1987 1222],person,77.95388103
,,
[ 266  673  882 1404],person,94.02531385
,,
[1590 1012 2124 1403],person,91.21383429
,,
box_points,name,percentage_probability
,,
[ 571  415  978 1004],person,84.19985771
,,
[1501  563 1988 1210],person,77.33219862
,,
[ 262  672  887 1405],person,93.64101887
,,
[1590 1022 2128 1403],person,90.53201079
,,
box_points,name,percentage_probability
,,
[ 589  476  983 1016],person,89.45041895
,,
[1583 1075 2148 1449],person,89.93288279
,,
[1502  554 1991 1223],person,69.44744587
,,
[ 260  675  874 1396],person,95.12962699
,,
box_points,name,percentage_probability
,,
[ 591  480  979 1031],person,83.53437781
,,
[1581 1080 2145 1446],person,92.31643677
,,
[1505  560 1989 1258],person,74.32476282
,,
[ 264  682  872 1394],person,94.89637613
,,
box_points,name,percentage_probability
,,
[ 597  485  979 1032],person,81.75292015
,,
[1585 1083 2144 1450],person,92.31848717
,,
[1505  567 1989 1235],person,74.52792525
,,
[ 262  686  870 1396],person,95.33069134
,,
box_points,name,percentage_probability
,,
[1582 1079 2143 1448],person,92.7031517
,,
[ 580  425  979 1010],person,81.94456697
,,
[1507  559 1993 1245],person,76.10942125
,,
[ 268  675  879 1400],person,94.32734251
,,
box_points,name,percentage_probability
,,
[1581 1065 2143 1449],person,90.12820721
,,
[ 576  419  976 1003],person,82.65520334
,,
[1505  560 1985 1258],person,73.24240208
,,
[ 274  671  886 1401],person,94.18414831
,,
box_points,name,percentage_probability
,,
[ 580  424  976 1007],person,81.87325001
,,
[1507  552 1979 1204],person,74.48251247
,,
[ 275  661  881 1396],person,93.34214926
,,
[1589 1005 2113 1399],person,93.57121587
,,
box_points,name,percentage_probability
,,
[ 591  466  977 1023],person,82.13416934
,,
[1505  565 1987 1229],person,78.33386064
,,
[ 269  676  879 1397],person,92.34399199
,,
[1582 1013 2124 1400],person,90.19200802
,,
box_points,name,percentage_probability
,,
[ 576  417  969 1039],person,82.4860394
,,
[ 445  503  923 1293],person,81.95442557
,,
[1504  560 1987 1202],person,75.40230751
,,
[ 258  675  859 1393],person,93.66807938
,,
[1599 1019 2123 1399],person,89.71937895
,,
box_points,name,percentage_probability
,,
[1590 1081 2148 1453],person,92.00117588
,,
[ 574  423  975 1010],person,85.31197906
,,
[1508  570 1978 1228],person,74.92638826
,,
[ 256  687  862 1397],person,94.30810809
,,
box_points,name,percentage_probability
,,
[1589 1086 2149 1452],person,92.05505848
,,
[ 570  433  956 1061],person,82.62921572
,,
[ 447  505  917 1271],person,85.86553931
,,
[1506  576 1986 1263],person,75.93938112
,,
[ 252  692  867 1396],person,95.16798258
,,
box_points,name,percentage_probability
,,
[1587 1078 2148 1447],person,90.22526741
,,
[ 567  427  951 1021],person,80.79175353
,,
[ 425  513  906 1277],person,83.9251101
,,
[1508  569 1989 1240],person,74.71731901
,,
[ 243  685  865 1397],person,95.47311664
,,
